肖申克的救赎,9.7,1908418人评价,https://movie.douban.com/subject/1292052/,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,策划了19年的私奔……,有种鸟是关不住的.,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
我不是药神,9.0,1413440人评价,https://movie.douban.com/subject/26752088/,“你敢保证你一辈子不得病？”纯粹、直接、有力！常常感叹：电影只能是电影。但每看到这样的佳作，又感慨：电影不只是电影！由衷的希望这部电影大卖！成为话题！成为榜样！成为国产电影最该有的可能。,"王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。
你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。
我不是药神，治不好这世界。但能改变一点，总归是会好的。",放在豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”。拿现实题材拍商业类型片，社会意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。,炸裂，哭成狗，从观影体验上看，比达拉斯买家俱乐部好，之间隔了差不多五个《动物世界》，导演处女作就这完成度，只能说剧本实在太好。我爸爸也是药神的受益者之一，否则我应该房子也没了。感谢他们🙏。,为一句“谁家还没个病人”泪流满面 感叹生命在“穷病”面前无药可救 感慨中国终于有了属于我们自己的有力量的电影 所有演员都非常出色 近年最好的群像表演 请记住这些电影人 宁浩 文牧野 徐峥 周一围 王传君 谭卓 章宇 杨新铭 王砚辉 咱们电影还是有希望的 愿中国的电影越来越好 谢谢
大闹天宫,9.3,249892人评价,https://movie.douban.com/subject/1418019/,50年过去了，中国动画不进反退，还有比这更可悲的事么。技术上止步不前，创意上才思枯竭。一群羊和两只狼的故事都被反复翻炒出N部，悲矣；当年号称十年巨制制出一部宝莲灯，贻笑大方矣。现在小孩的物质条件比我们好了n倍，但是我仍然觉得当年的我们是幸福的，因为有这么多优秀的动画片陪伴成长。,向中国早期的动画制作人员致敬！,这个无须评论。,中国动画=大闹天空，虽然对很多动画来说这样很不公平，但是，你能找出其他这么有代表性的佳作？,中国动画史上的一块金字招牌，当之无愧。
两杆大烟枪,9.1,415597人评价,https://movie.douban.com/subject/1293350/,大轮回剧情，赞不绝口。配乐无比踩点。特写连毛孔胡渣都分毫毕现。摇摇欲坠，坐在各种笑料回荡的嘴角上，寻着被烟熏的发黄的咯吱作响的牙齿，就快要从这口腔中滑落下去。笑到背气的是帅哥那严峻，放纵时而又苦逼崩溃的脸。铤而走险后疯癫狂欢，年轻人们决不会想到这一切都只是纠葛的开始。,我觉得这片儿里的小混混们都挺有型的.,貌似疯狂的石头就是在模仿这部片子。麦当娜的前夫的作品。,疯狂的石头在他面前只是浮云,（9/10）对于脸盲而言前半段大概会看得很痛苦，但后半部理清线索后会是各种神奇……不算入赌场BOSS，这片一共有五股主要势力在斗殴：欠50万的（买了两支大烟枪去抢劫卖白粉的）、卖白粉的（高尔夫球）、毒品供应商（黑人势力）、强盗团体、讨债父子和两个不认识赌场大BOSS的小混混……
指环王1：魔戒再现,9.0,524079人评价,https://movie.douban.com/subject/1291571/,甘道夫掉下桥的那一刻，我真的落泪了……,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,只为~～奥兰多布鲁姆,人性与其他生灵都有自身的脆弱性，所以，即使是选择了善，也有可以脆弱导向其他的方向，就像森林女王。更可怕的是，用恶的手段达到善良的目的，本质上的以毒攻毒，以恶抗恶，就像人类国王贡多的儿子，都是人类信念不够坚定，内心的力量越来越弱时产生的。 ,事实证明，我真的对西方魔幻不感冒（除了HP），无论指环王还是冰与火我都看不下去虽然都看了...看指环王每一部一小时内必睡着
飞越疯人院,9.1,416303人评价,https://movie.douban.com/subject/1292224/,“至少我试过了”  ★★★★,美国人为何会无端端诟病中国的人权问题？而我们又为何会觉得朝鲜人民生活在盲目的幸福中？正因为笼子外的人品尝过笼子内的人闻所未闻的自由。当一个人试图破坏笼子的时候，把他定义为疯子就好了。,R.P.McMurphy对体制的挑战以脑叶被切除告终，他对自由的追求失败了吗？他所有的尝试都改变了——哪怕一丁点——“疯子们”的生活环境和心灵禁锢。关于受到争议的死亡，则是酋长对完整人格的高度尊重，代表另一个层面的自由。,精神病们都是好孩子~,片末切除额叶手术和禁闭岛相似 尼科尔森的演出像是史楚锡流浪记中那位 酋长的存在 又有些类似绿里奇迹 但总体还是最接近肖申克救赎的原型——七十年代风浓郁 船上一段是为上扬气氛的最高潮 众疯人都是很有爱的小朋友 奇迹最终可以催生 反派除护士长外渲染不足 其实护士长是无耻之徒里的传奇毒贩奶奶！
美丽心灵,9.0,515210人评价,https://movie.douban.com/subject/1306029/,我发现我的一句话短评竟然造成了严重剧透，所以我做了修改，我的建议是，在先生（女士）您看到我这条短评时，请停止手贱，不要再浏览任何短评，以防剧透，立刻去看电影。您将体验电影剧情的不确定性而感到万分愉悦。,幻想又有什么不好，至少多了三个爱你的人。,与自己战斗，坚持，勇敢，相信自己。面对一切困境，克服它，朝着自己的理想前进。这是人性的光辉之处，这是人超越一切生物的闪光点。,与我想象中的不一样，很震撼人的传记电影，从中我最大的体会是：做伟人也真不容易啊~~,用精神治好了自己的精神病
饮食男女,9.1,380962人评价,https://movie.douban.com/subject/1291818/,人生不能像做菜，把所有的料都准备好了才下锅。还有就是，原来男人会一直有性欲。,老处女性饥渴献身机车男、约炮女遇渣男回头是岸、心机女挖墙脚嫁入豪门，老鳏夫暮年入花丛枯木逢春，李安导演，你牛。,我会告诉你我反复看了五遍开头？口水留成海,我也是看完这部最后笑了的人之一，两个多小时的片子却一点也不觉得长，重要的事情发生的时候都有一桌丰盛的美食，原来这就是饮食男女，我们要吃饭，我们也要生活，生活怎么能总是波澜不惊呢，必须是有着很多的问题。没有一颗细腻的心是没办法拍出这样细腻的片子的。,中国人的闷骚拍得好到位，以及，我说归亚蕾哪来的一口标准长沙话，居然真的是长沙人啊哈哈哈
V字仇杀队,8.9,729644人评价,https://movie.douban.com/subject/1309046/,忘却乃是苍生之罪过。有些人不愿意我们说话，因为尽管沉默代替了对话，言语却总能保持它的力量。它向那些愿意倾听的人们发出真相的宣告。而真相是，这个国家有些事情错得可怕。残暴、不公、歧视和镇压，曾几何时，你们拥有自由，可以按照喜欢的方式所思所言，今天你有了审查和监督，强迫你随波逐流。想,"Behind this mask is a man, and behind this man is an idea. And ideas are bulletproof. 异常兴奋，爽到窒息。",还好没摘，摘了就俗了，但是作为演员一直不露脸是不是很憋屈？这个角色80％是用声音塑造的，太TM深邃了好听了！主题很好，后面鸡皮疙瘩起的。。OST棒，尤其是中间有段弥撒曲太好听了啊！！,超好看！超感动！很有1984的味道~~~！,V真是偶心中的完美男人啊！！宽肩，细腰，翘臀，长腿，贵族的口音和品位，也有穿个粉条纹围裙做早餐的极Q时刻……面具一定要败个！
黑客帝国,9.0,523467人评价,https://movie.douban.com/subject/1291843/,其中的哲学影响我的哲学道路,一部蕴含丰富哲理的科幻巨制，袁和平的动作指导将东方武学艺术推向全世界，尼奥躲子弹的镜头成为经典~~,我都一直分不清真是和虚拟了，感觉像从一个梦掉进另一个梦里。,Matrix的母体概念比盗梦牛逼啊，只不过变性兄弟在庞大的逻辑面前没有诺兰熟练的驾驭能力唉。,这实际上是一部哲理电影……自此后子弹时间被多少片子致敬效仿……唉，基努里维斯，心中永远的男神。
猫鼠游戏,9.0,522973人评价,https://movie.douban.com/subject/1305487/,我只想说，02年小李还是尖脸呢。,这是我看过的来奥纳多最可爱的角色,他离家出走，说谎，制造不同的身份开始光鲜亮丽的生活。他是智商超群的罪犯，但是他只是个孤独的孩子。在平安夜的时候打电话给抓他的警探，在平安夜被捕的时候拥抱着他说圣诞快乐，在听到父亲的死讯以后失声痛哭，看到妈妈的新家庭以后对来抓他的警察说你们带我走吧。他终究只是个孩子。,（8/10）卡尔警官是虚构人物，但伪造犯弗兰克却真人真事，因其出色的鉴伪技术为FBI戴罪立功。必须一提的是现实中弗兰克的父母婚姻问题主要责任在父亲一方，但影片却把责任推给母亲。他的确有律师执照，但花了八周而不是两周。维基百科说弗兰克本尊在片中演一法国警察，但我没认出来。,真的很好看吗？我认为真的很不好看。
钢琴家,9.1,344183人评价,https://movie.douban.com/subject/1296736/,“我有件更暖的。”----Wilm Hosenfeld,爲何我會很憐憫那個納粹士官，至少他是鋼琴家的知音。,“你为什么穿着德国人的衣服？”“因为冷”,如今这个民族仍然在继续受苦，苍天无眼,在影院看，恐惧和难受真是无孔不入。波兰斯基以一个观察者的角度展现了波兰的二战场景，看似冷静却又是最可惧的。而人活下去的信念到底能有多强大，恐怕不到死神擦肩而过的关头是无法预料的。如果说一部电影能给人信念，那《钢琴家》就是这样。
本杰明·巴顿奇事,8.9,674169人评价,https://movie.douban.com/subject/1485260/,你可以像疯狗那样对周围的一切愤愤不平， 你可以诅咒命运，但是等到最后一刻到来之时， 你还得平静的放手而去。每个人在某种程度上都对自己有不同的认识，但是我们最后都会去往同一个地方。只是走的路不同罢了。你也有属于你的道路。,虽然明星众多，也有装逼文艺片的嫌疑，但这部片子实际有点混乱，而且似乎什么都没有说。,"我们像婴儿一般来到这个世上,又像婴儿般安详的离去.留下的,也许都在最后与心爱的人眼神交汇那一个瞬间,从眼前飞逝而过的所有故事吧.","很好,四平八稳,只是没有惊喜.",哇被两个女王睡过的男人，简直可以说是Holy cock了
看不见的客人,8.8,778738人评价,https://movie.douban.com/subject/26580232/,开。车。的。时。候。不。要。谈。情。说。爱！ 系。好。安。全。带！（认真脸）,好看，强烈推荐。问题是如此重要的辩护人竟然不是当面引荐的。,作为一部连环反转的惊悚片，此片对观众心理的拿捏是教科书级别的。不难猜中结局，但这个过程还是太精彩了。,调度上有种将阿加莎小说当代化的直感 谷仓之冰和密室的三重解答亦是对黄金时代的致敬 拍推理片需要的是娓娓道来 不急不缓的叙述 以及临近收尾时暴风骤雨般地揭晓真相 本片都做到了 虽然对于非脸盲症而言这个最早来自莎士比亚的诡计略显累赘 讲义系列若拍成电影 要的也是这种感觉,2016最佳，好久没看这种过山车式悬疑片了
让子弹飞,8.8,1095848人评价,https://movie.douban.com/subject/3742360/,姜文的个人英雄式表达，但拍得流畅热闹，复杂的剧情细节之下，是他坚持的自我，但与鬼子来了相比，他更懂得如何掩藏自己挑战的野心，这些野心都掩藏在了一流的喜剧功夫上。,说姜文用力过猛的  那只能说明您受功不够 受用不起！影志老师在各方压力下更新短评 缓和了语气“姜文导演作品里最差的，远不如《阳光灿烂》和《鬼子来了》。”  难道这也是打一星的理由？您明知道阳光灿烂和鬼子来了都是中国影史经典  难道在您看来不如经典就是一星？！牛掰就别改短评！,牛着逼！,要是姜文拍完这部电影就宣布退休，他会被封神。,姜文玩出来的电影，从头到尾都很放松，或者是太放松了，节奏总有点怪，有些情节也太儿戏。对白也不好，细节不如《鬼子来了》那么智慧，即便如此，这仍然是今年华语片最棒的。或者只能怪剩下那些太面货。请千万一定尽量降低期待。重看一遍，感觉这片舞台味真重啊。
海豚湾,9.3,275154人评价,https://movie.douban.com/subject/3442220/,我想知道的是 大地村那里的海豚屠宰场现在怎样？关闭了没有？当地的渔民是否还以屠宰海豚谋生？,看完确实很难受 但是其它被食用残杀的动物就因为比海豚低贱么...我也没办法真的素食主义..更别扭,太煽情 太主观,看关于环保，动保的纪录片的最大意义就是转化为自身的行动。现在这种片子很多，如果看到10部你还没素食我怀疑你是不是要人格分裂了。,已经多久没有哭成这个样子了
西西里的美丽传说,8.9,658306人评价,https://movie.douban.com/subject/1292402/,震撼全城的美貌，罪恶之源，情欲之源，纯真之源。这是公共意淫、诋毁、同化的典范。,关键时候男人都不出来帮他们的女神，不过如此,有人问我是讲什么的：一个青少年的性幻想和女人美到一个程度就会很悲惨（大概）。,贝鲁奇实在太美！连咪咪都美得人神共愤！男孩视角不能更动人。我们的历史总是在动荡年代，挑出一两位绝色女性，用她们的绛唇妆点狼烟，然后任之委弃风尘...,"太美,太性感.太凄凉."
情书,8.9,620727人评价,https://movie.douban.com/subject/1292220/,暗恋的极致,无论如何都会流下热泪的电影，五星又怎么够！,经不住似水流年，逃不过此间少年。彩云易散琉璃脆，水仙已乘鲤鱼去,总是点到为止的岩井俊二.,「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色
拯救大兵瑞恩,9.0,434837人评价,https://movie.douban.com/subject/1292849/,厄本这个角色很有意思，懦弱，非常懦弱，还有一种可笑的浪漫和无知的善良。他才是你我他，对战争的残酷抱有一种可耻的畏惧，并对其有好心的幻想。可惜事实并非如此，战争就是你死我活，战争是考验勇气的时刻，而非善心。胆小的也许能活下来，但在战争中，你已经输了。而那些死了的勇士，他们才是胜利者,真正意义的大导大片，开场的抢滩和结尾的瑞梅尔血战机位控制臻入神技，牛逼的主次特写像一位幸存的二战联盟老兵啐着唾沫在回忆戎马。瑞梅尔的残破桥头，米勒上尉的身后是无尽残阳，他的面前是这个略显荒谬任务的完结，他的面前也是詹姆斯瑞恩的明天。,让我感动得哭了.,那些近乎白描式的战役刻画，真实而震撼；米勒中尉不由自主颤抖的手，是那时每个如棋子般无法控制自己命运战士的写照；在更高层面上的人性与伦理的探讨，其实已经无关紧要。,不论你如何唾弃，这就是美国！这就是人性！冒着损失一个小队代价的风险，也不能让一个母亲一天接到第四份阵亡通知书。影片开头的抢滩登陆极其写实，让人有种观看纪录片的错觉。近结尾 汤姆·汉克斯用手枪盲目下意识射击坦克最后竟然真的击爆的情节让人倍感希望。
小鞋子,9.2,266675人评价,https://movie.douban.com/subject/1303021/,说心里话，这个成为经典是靠人们摸着心评价的，不是片子本身有多好。,去年从以色列乘车去巴勒斯坦，一过国界线简直是两个世界。犹太人的地方干净富裕，阿拉伯城市就垃圾满地，乌鸦乱飞。很多小孩子拿着矿泉水和粗糙的纪念品追着我们叫卖，都是长睫毛大眼睛很漂亮的孩子。晚上看新闻，巴勒斯坦又被战机轰炸死了70多个人，真他妈难受的什么也不想说了。,身体欠佳妈妈让孩子给疲惫的爸爸倒茶，富人爷爷给认真工作的爸爸丰厚报酬，富人弟弟和哥哥一起开心玩耍，爸爸赚了钱想给妈妈买电熨斗，哥哥想跑步比赛给妹妹赢得一双鞋，老师为经常迟到的哥哥求情继续上学，妹妹把心爱的鞋子让给另一可怜人家的女儿，这另一可怜的女儿把捡到的漂亮铅笔还给妹妹……,　少年之爱，不染任何杂质，晶莹剔透。我认为这正是这部电影要表达的主题之一。当然，有尊严的活着，照样也能有如此安静而幸福的生活。影片给成人们许多看不到视角来观看这个世界,一点儿都不造作的那种 
音乐之声,9.0,402073人评价,https://movie.douban.com/subject/1294408/,原谅我，我真的不知道它好看在哪里。,不知看过多少遍的经典 阿尔卑斯山脚美如画 纯真美好得不行,有悦耳的音乐相随，有动人的情感相伴；有政治但没有阴谋，有战争却并不残酷；不愧是一部极佳的音乐电影！-2011.10.10 —————《音乐之声》上映50周年纪念日：在玛利亚的身上看到了自己的影子，喜爱大自然、喜爱音乐、带孩子们愉快到处地玩乐、教孩子们唱歌、……，满满的重温观影享受。-2015.03.02,居家旅行必备良药~,会好看的电影，音乐非常好听，男主角的小孩真多啊！好可爱
美国往事,9.2,287228人评价,https://movie.douban.com/subject/1292262/,少年子弟江湖老，红粉佳人两鬓斑,两场强暴戏毕竟是吃不消，男性的传奇之路上似乎最少不得的就是美丽而无人格的女性牺牲品,当年姜文拍阳光灿烂的日子前拉美国往事拉了五十多遍，今次看来，果然颇多神似,面条的人生。这条人参很长，长达229分钟。,如果有一部黑帮片能和《教父》比肩，在我心里它只能是《美国往事》
穿条纹睡衣的男孩,9.1,327582人评价,https://movie.douban.com/subject/3008247/,感动我的是孩子的勇气，强大的勇气。,夜里安静地看这部片子，莫名的忧伤和震撼。有时候可怕的并不是罪恶本身，而是掩饰罪恶带来的后果会让人误以为罪恶是美好的。看到结局，最后的防线被击垮了，到底该为小男主无辜的死亡和其母痛失爱子而悲恸，还是要为这死成了对其父及纳粹罪行的惩罚而窃喜…（ps.Rupert Friend太妖孽。,fuck 这么狗血的结局 看得心里好难受,如果有个惊喜的结局，犹太人反而会被妖魔化,我觉得它并不比[辛]差，不是只有透过大社会看战争才是正统的片子。父亲就算是纳粹也爱自己的妻子小孩，母亲做为女性心软，青少年容易被骟动，而什么都不知道的小孩只能接受大人给他灌输的知识。我觉得这些都是可以理解的，并不是“刻板”“形像化”的。最后的长镜头看了几遍
致命魔术,8.9,576600人评价,https://movie.douban.com/subject/1780330/,孪生蝙蝠侠大战克隆金刚狼,第二遍才发现其实那个小男孩说小鸟的时候已经道出了玄机 撒~撒~,精彩绝伦的叙事！伯德的“双胞胎戏法”决斗安吉的“复制人重生”——牺牲是魔术表演的最高精神，双胞胎选择牺牲自我，轮流分享人生；安吉同样也是牺牲自我，却拿肉体做赌注。明显开放式的结局，你猜安吉有没有把新的自己都杀死了呢，如果没有，那安吉其实还没死。我杀了你的兄弟，你杀了我的备份。,克隆出来的Hugh Jackman别杀啊，给咱一人派一个啊……,诺兰牛比阿
七宗罪,8.8,673759人评价,https://movie.douban.com/subject/1292223/,里面的布拉德皮特帅的掉渣……,决定永远不暴食,多年以后再看，还是功力和锐气并重的作品,故事看多后的后遗症就是一般最后半小时就知道结局了。。。,结局让我喜欢这部电影
低俗小说,8.8,573562人评价,https://movie.douban.com/subject/1291832/,你的漫漫人生，我有多少戏份,事实证明，编剧恒大于结构。玩弄技术者必将悲惨淹没于日新月异中，新潮变做作，做作变老土。演员都是熟人，OST很好听。Travolta有点PITT的味道，昆汀大叔妒嫉他，竟把他写死了。讨厌拳击手，暴菊黑屋子太搞了。。Maria deMedeiros甜美性感小魔女——不是LES太可惜！,文森特你不要总是在关键时刻上厕所啊喂,忘不了Uma Thurman和John Travolta的狐步舞,低俗小说，故事的高级讲法~
绿皮书,8.9,996303人评价,https://movie.douban.com/subject/27060077/,让人印象最深的片段是他们的车在南部的乡间小路上抛锚，和田里劳作的黑奴对视的那一幕，无声却发出巨响。,"Mahershala說片子里某個根本不會被人注意到的佈景里的某塊石頭或許就是V撿的。他說V在拍攝的時候，一直留心撿很漂亮的石頭，撿到了就拿給導演說：看，把這塊石頭放在背景里會有多好看
說到電影里的部分，他可能增肥了有二三十斤，從來沒見過他有那麼大的肚腩（現在似乎已經減回來了）。今天在看V表演時，大部分的時間，我忘了他是Viggo，他就是那樣一個沒文化又油滑、滿嘴跑火車的司機。
僅僅偶爾偶爾有幾個他...",赶走偏见不是靠鸣枪，赢得尊重不是靠拳头。为了如厕宁可折返，为了用餐甘愿罢演，受到霸凌不视为侮辱而视为考验，受到恩惠不视为荣耀而视为耻辱。南方劳作的黑奴看到路边的他衣冠楚楚，如同一个预言。一家上流餐厅，一间宽敞厕所，一个高档试衣间都没能容纳下的东西，却装进了一方绿色车厢，勇敢上路。,#剧作#第1点：让妻子接电话，电话内容全部隐掉，呈现妻子的表演，并描写夫妻间的感情。第2点：24分钟才出现核心道具“绿皮书”。第3点：公路片类型。第4点：到35分钟，音乐起，镜头从欢笑的人们摇到孤寂的一人。第5点：多来一条书信的线，也是一条情感变化线。第6点：43分钟，小人物开始反击，第7点：46分钟，黑人扳回一局，第8点：48分钟。意大利人解决问题独特的方式。第9点：50分钟，开始敞开心扉。第1...,这部电影的厉害之处就是剧本扎实，在人物塑造和细节上非常出彩。这趟一路向南的旅程到最后也不能让Dr. Don Shirley证明自己在白人心中的地位，他身陷孤独境地也没人帮得了他，除非他自己跟自己和解，自己去完成一场关于自我的救赎。它并没有刻意说教的去讲什么，但每个人都能从中看到不同时代某些群体的遭遇，不仅仅是黑人和白人这么简单。这部电影的主题正如片中那句点睛的台词所说的，因为天才还不够，唯有勇气才...
沉默的羔羊,8.8,570278人评价,https://movie.douban.com/subject/1293544/,正是因为米国没有卤煮火烧和烩羊杂，就连爆肚、溜肥肠，酱爆肝尖，火爆腰花什么的都没有，所以作为美食家的汉尼拔很尴尬，常常为了一份食材而绞尽脑汁，大费周章，其实。北京欢迎你，大可满足你顿顿吃卤煮的愿望。,安东尼·霍普金斯的顶级表演~~,“颇具匠心地将恐怖片与侦探片结合成一体，采用希区柯克式的悬念手法和现代恐怖片的心理分析，将观众引入了象征性的潜意识的世界。警察为了捉一名杀人狂魔而不得不求助于另一名杀人狂魔，这本身就具有强烈的荒诞与讽刺意味。影片一直在寻找人类社会的恐怖之源，最后得出了一个“由于秩序本身的问题造成的，反过来危及秩序的犯罪病例”的结论，这使得影片具有了一定的社会意义。”,一点也不恐怖,親愛的朱迪，當時我還不懂人為什么會有那麼深沉的夢魘……
蝴蝶效应,8.8,634098人评价,https://movie.douban.com/subject/1292343/,我们每个人，都会幻想能够改变过去使目前的状态更好些，或者希望过另一种生活成为另一个人，这部电影反映的就是这种想法以及假如我们真这样做的结果。埃文不停的改变过去的选择，希望能够找到一个完美的未来。可事与愿违，往往导致更加悲剧化的结尾。人类对自己的认识一度忘乎所以，以为自己就是上帝，而最终仍将认识到自然的种种限制，但正是这种限制，体现了生命的意义、抉择和努力的意义。当我们回首往事，自然会对以往的错误感...,都是我们至尊宝玩剩下的……,"★★★★ (2004-12-17) 其实比起电影本身，还是更喜欢那段影评：“量子力学的平行多宇宙解释说，在交叉小径的花园里，总会有一条道路，让人们在生命中的每一个节点都得到幸福，在那条完全幸福的道路上，有且仅有一个你在行走。
这是多么令人宽慰啊，在每一次铭心刻骨的选择里，总有一个你选对了路，在茫茫的恒河沙数的宇宙里，总有一个你，终生幸福。”","尽管有破绽,但是构思的巧妙和创新足以弥补,不能用科学的角度来分析艺术",人的命运被自己瞬间的抉择改变。
被嫌弃的松子的一生,8.9,512944人评价,https://movie.douban.com/subject/1787291/,"　　""小时候,谁都觉得自己的未来闪闪发光,不是吗 　　但是一旦长大,没有一件事会遂自己心愿"" 　　 　　她总是想着办法，即便是些常人看起来怪异可笑的办法来面对不太公平的生活遭遇． 　　 　　看得我真他妈压抑. 　　我就是无比恐惧自己的生活会变成这个样子 　　导演和编剧把我对我生活的梦魇般的臆想变成了胶片",这个故事是对“少女情怀”赤裸裸的嘲讽！,【就算被打，也比孤独一人好】如果单拎出一段来看，一定会被浓烈的色彩、童话般的氛围和OST给骗了，其实这是一个在讲述“破碎”的故事，为了取悦别人松子不断的付出着钱财肉体灵魂乃至一切，可生活的变故却让她不断的破灭破灭再破灭，但她还是一次次站起来了，为松子鼓掌，操他妈的生活。,生まれて、すみません。,极度艳丽如舞台剧一般的画面，极其难以做出的表情，表面上看极为悲惨的人生——但实际也正如乌兹别克斯坦女孩所说，人的价值不在乎得到多少，而在于付出多少：如此看来，松子的人生真的是丰富多彩的幸福，残缺正是作为人所应有的，总之彪悍的人生不需要解释。OST超赞的....^^但影片结尾略冗长
春光乍泄,8.9,426007人评价,https://movie.douban.com/subject/1292679/,光棍节给自己准备的电影《春光乍泄》，根本就是找虐。。。。黎耀辉简直是八心八箭4个9的纯GAY，极品中的极品，GAY中的爱马仕，GAY中的劳力士，GAY中的劳斯莱斯，上下5000年不可多得的尤物！！！我想变男人要这样的男朋友啊啊啊啊,总是觉得，站在瀑布下的应该是两个人。,摄影助理 黎耀辉 何宝荣，王家卫你太坏了,从来只有半部的《春光乍泻》,其实何保荣才是彻底的loser。你去了瀑布你难过悲伤可是你回到了地球另一端，而他还在那儿假装依然可以重头来过，你却再也不出现。（最好是，收拾好一切，再也不见）
禁闭岛,8.8,631292人评价,https://movie.douban.com/subject/2334904/,非阴谋结局 泰迪确实病了 最后泰迪是被治好了 但他不愿活在痛苦中 因而假装自己又犯病了而去做切除手术,好吧，其实这是部*绝*对*不*能*剧*透*的电影。恩！,结局是开放式的，随便你怎么演绎都有理。所以大概不能断定说看到一半就猜到吧。,他到底会像怪物一样活着，还是会像好人一样死去呢？,没新意又无趣。马大师新不如旧啊新不如旧。DiCaprio都发福成老熊了，叫Teddy真是实至名归
心灵捕手,8.9,472545人评价,https://movie.douban.com/subject/1292656/,我每天到你家接你，我们出去喝酒笑闹，那很棒但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。,“我们的小缺点让我们找到对的人。”没有谁是完美的人，最亲密的人就是能够完美的接受对方的不完美。在那个年代，有许多这样的励志影片，或许现在回头看会觉得俗套说教，但精致的对白，动人的配乐，达蒙与罗宾的飚戏，始终会有抓住你的地方。生活有時候只是一种伪装，真正的声音源自我们内心。★★★★,我想找个像Sean一样懂爱的人。,这个世界总有对不起你的时候，这让你好像除了防御之外再也做不出来任何动作，不知道我们到底要体验多少才能懂得一个很简单的道理，不知道要过多久要靠多少机缘巧合，才能有一个人对我说：it's not your fault,"这部电影让我明白了三件事：
——什么是真正的爱情？
——什么是真正的朋友？
——成功，不在于你取得了什么，而在于寻找自我。
（不过，不太像是范.桑特的电影风格）"
布达佩斯大饭店,8.8,597383人评价,https://movie.douban.com/subject/11525673/,这不仅仅是一部电影，它是游戏，是童话，还是一件艺术品，将作者化的美学风格、形式感和怀旧的主题完美融合！无论从故事、剧作、主题和美学，它的辨识度都只属于自己，对于韦斯·安德森的粉丝，这是杰作！,自从天使爱美丽之后似乎就早已看腻了这种游戏形式的电影，再美的摄影和美术似乎也不再能吸引我。整个片就像里头那个甜点，有一种甜腻了甜恶心的感觉。故事简单人物脸谱化单薄无趣，看不下去中间几乎在影院睡着。说是向老片致敬但从头到尾把对称构图用到吐，相比之下这方面还是the artist比较高明些。,故事并不怎么吸引人，完全靠导演的个人风格来博取毫无鉴别力观众的好评。,依然还是韦斯-安德森标志性的复古色调、悦耳配乐，神经兮兮的冷幽默。不像前作那么随意松散，《大饭店》故事紧凑、层层剥茧，而且居然有点“重口味”。也许只有韦斯-安德森才能把一个混合谋杀、越狱、械斗的故事拍得那么喜感。,一张寄往旧时欧洲的精致明信片，L’Air de Panache的味道充斥整个屏幕，冷幽默和由慢至快的节奏依旧，尾声的高潮之后迷漫着令人惆怅的尾香。逝去的终将逝去，这童话式的一瞥令人难忘。
海蒂和爷爷,9.2,224835人评价,https://movie.douban.com/subject/25958717/,人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？,难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。,“大家都笑我，因为我想写故事”“那是因为大家知道的太少，而你看过更大的世界。如果你觉得这个世界有那些东西会让你快乐，就去做，无论别人说什么”,如果生活中有什么使你感到快乐，那就去做吧，不要管别人说什么。风景好美，三个孩子也好美。我们的天性呢，总感觉没有恣意地释放过，也想在满是蒲公英的山野，赤脚张开双臂奔跑一次。克拉拉的奶奶真的是个很睿智的教育者。,想说的是：这才是人生中最美好的童年时光。
